generated_passage|Question|Answer
"Title: The Return of the Airship

In the story, ""The Return of the Airship,"" Mr. Barton Swift, a well-known inventor, is startled by the sudden arrival of an airship. The elderly man is amazed by the sight of the craft circling above. As the airship descends, Mr. Swift wonders why it has returned so quickly from Shopton. Tom Swift, his son, and Mr. Sharp, a veteran aeronaut, emerge from the airship. They secure the craft and discuss their findings at Shopton, concerned about the presence of the Happy Harry gang. Mr. Swift shares his plans for modifications to the submarine while Mr. Sharp advises putting the airship away to avoid unwanted attention. The Red Cloud, a remarkable aeroplane and dirigible balloon, is safely stored in a tent after a smooth landing."|"[""1. What is the main reason for Mr. Barton Swift's amazement in the story?\nA) The sudden arrival of a submarine\nB) The appearance of the Happy Harry gang\nC) The unexpected return of an airship\nD) The sight of Mr. Sharp and Tom Swift\nE) The modification plans for the Red Cloud"", '2. Who emerges from the airship upon its descent?\nA) Mr. Barton Swift and the Happy Harry gang\nB) Tom Swift and Mr. Sharp\nC) Mr. Swift and Mr. Sharp\nD) Tom Swift and the Happy Harry gang\nE) Mr. Barton Swift and Tom Swift', '3. What is the main concern discussed by Mr. Swift, Tom Swift, and Mr. Sharp?\nA) Plans for modifications to the airship\nB) Presence of the Happy Harry gang\nC) Securing the airship\nD) Storing the Red Cloud in a tent\nE) Flying the Red Cloud to Shopton', '4. What advice does Mr. Sharp give regarding the airship?\nA) Flying it to Shopton immediately\nB) Storing it away to avoid attention\nC) Modifying it for better performance\nD) Selling it to the Happy Harry gang\nE) Leaving it unattended in the open', ""5. Where is the Red Cloud safely stored after landing?\nA) In a hangar at Shopton\nB) In the Happy Harry gang's hideout\nC) In a tent\nD) In Mr. Swift's backyard\nE) On top of a mountain"", '6. What is the Red Cloud described as in the story?\nA) A remarkable aeroplane and dirigible balloon\nB) A mysterious submarine\nC) A fast car\nD) A hidden treasure\nE) A dangerous weapon']"|['C) The unexpected return of an airship', 'B) Tom Swift and Mr. Sharp', 'B) Presence of the Happy Harry gang', 'B) Storing it away to avoid attention', 'C) In a tent', 'A) A remarkable aeroplane and dirigible balloon']
Mr. Sharp and Tom carried bundles from the car to a shed near the seashore house Mr. Swift rented for the season. Inside the shed, they found Mr. Swift inspecting a large, partially completed submarine. Tom examined the submarine and noted the progress made since his last visit. Mr. Sharp joked about needing Mr. Damon's blessings for the submarine. The trio discussed technical details of the submarine's steering gear. Later, they joined Mrs. Baggert for supper, where they talked about recent airship flights and the new submarine. After supper, Mr. Swift and Mr. Sharp calculated sea water pressure. Tom read a report about a sunken steamship off the coast of Uruguay, sparking a discussion among the group.|"['1. What were Mr. Sharp and Tom carrying from the car to the shed near the seashore house?\nA) Fishing equipment\nB) Bundles\nC) Surfboards\nD) Picnic supplies\nE) Tools', '2. What did Tom note about the submarine when he examined it?\nA) It was fully completed\nB) It was small in size\nC) It was in bad condition\nD) It was partially completed\nE) It was a spaceship', ""3. What did Mr. Sharp joke about needing for the submarine?\nA) Mr. Swift's approval\nB) Mr. Damon's blessings\nC) More money\nD) A bigger shed\nE) New tools"", '4. What did Mr. Swift and Mr. Sharp calculate after supper?\nA) Air pressure\nB) Wind speed\nC) Sea water pressure\nD) Temperature\nE) Humidity', '5. What sparked a discussion among the group after Tom read a report?\nA) Recent airship flights\nB) Sunken submarines\nC) Sea monsters\nD) Space exploration\nE) Treasure hunting', ""6. What did the group talk about during supper?\nA) Recent airship flights\nB) New submarine designs\nC) Sea water pressure\nD) Sunken steamships\nE) Mrs. Baggert's cooking skills""]"|"['B) Bundles', 'D) It was partially completed', ""B) Mr. Damon's blessings"", 'C) Sea water pressure', 'B) Sunken submarines', 'A) Recent airship flights']"
Tom excitedly suggested to his dad that they should go after a sunken ship's treasure off the coast of Uruguay using their submarine and new diving suits. The treasure was worth $300,000, and even though it had been abandoned, they could claim it. Tom's father, Mr. Swift, carefully considered the idea and shared it with Mr. Sharp, who agreed it was possible. However, they would have to skip some other plans. Mrs. Baggert, their housekeeper, overheard and warned against chasing after treasures like Captain Kidd's, sharing a cautionary tale about a relative who failed to find any riches. She advised against wasting time on such pursuits when they were already busy with building airships and submarines.|"[""1. What did Tom suggest to his dad?\nA) Going on a vacation\nB) Building a new house\nC) Hunting for a sunken ship's treasure\nD) Starting a new business\nE) Going fishing"", '2. How much was the treasure worth?\nA) $100,000\nB) $200,000\nC) $300,000\nD) $400,000\nE) $500,000', ""3. Who did Mr. Swift share Tom's idea with?\nA) Mrs. Baggert\nB) Mr. Sharp\nC) Tom's friends\nD) Tom's teacher\nE) Tom's coach"", '4. What did Mrs. Baggert warn against?\nA) Going to the beach\nB) Chasing after treasures\nC) Watching movies\nD) Playing video games\nE) Cooking dinner', ""5. What was Mrs. Baggert's cautionary tale about?\nA) Pirates\nB) Ghosts\nC) Treasures\nD) Shipwrecks\nE) Airships"", '6. What did Mrs. Baggert advise against?\nA) Going to school\nB) Building submarines\nC) Wasting time on pursuits like treasure hunting\nD) Traveling to Uruguay\nE) Starting a new hobby']"|"[""C) Hunting for a sunken ship's treasure"", 'C) $300,000', 'B) Mr. Sharp', 'B) Chasing after treasures', 'A) Pirates', 'C) Wasting time on pursuits like treasure hunting']"
Tom Swift, a talented inventor, lived in Shopton, New York, with his father Barton Swift. They worked on inventions in their machine shops. Tom was known for his expertise in electrical construction. In a discussion about a submarine project, Tom's advice was sought. Tom's adventures began when he acquired a motor-cycle from Mr. Damon after an accident. Later, Tom had exciting escapades with a motor-boat recovered from thieves. With the help of his friends, including Ned Newton and Eradicate Sampson, Tom solved mysteries and faced challenges. Now, Tom and his father were planning a treasure-hunting expedition, discussing the need for a skilled sea captain and finalizing the submarine's construction. Their workshop near Lake Carlopa was the hub of their innovative projects.|"['1. What is Tom Swift known for in the text passage?\nA) Working in a bakery\nB) Expertise in electrical construction\nC) Teaching at a school\nD) Playing soccer professionally\nE) Painting landscapes', '2. Who did Tom Swift acquire a motor-cycle from in the text passage?\nA) Ned Newton\nB) Eradicate Sampson\nC) Mr. Damon\nD) Barton Swift\nE) A stranger on the street', '3. What did Tom and his friends do with the recovered motor-boat in the text passage?\nA) Sold it to a museum\nB) Used it for fishing trips\nC) Went on exciting escapades\nD) Donated it to charity\nE) Left it abandoned in a field', ""4. Where was Tom Swift's workshop located in the text passage?\nA) Near a mountain\nB) Near a forest\nC) Near a lake\nD) Near a desert\nE) Near a city"", ""5. Who were Tom Swift's friends mentioned in the text passage?\nA) Mary and John\nB) Peter and Susan\nC) Ned Newton and Eradicate Sampson\nD) Mr. and Mrs. Smith\nE) Bob and Alice"", '6. What were Tom and his father planning in the text passage?\nA) Going on a vacation\nB) Starting a bakery\nC) Building a rocket\nD) A treasure-hunting expedition\nE) Opening a restaurant']"|['B) Expertise in electrical construction', 'C) Mr. Damon', 'C) Went on exciting escapades', 'C) Near a lake', 'C) Ned Newton and Eradicate Sampson', 'D) A treasure-hunting expedition']
"In his motor-boat, Tom raced against Andy Foger, a wealthy but mean boy from Shopton. Andy, with his red hair and squinty eyes, often caused trouble for Tom, especially after losing to him in boat races. During a trip on his boat, Arrow, Tom met John Sharp, an experienced balloonist. They rescued Mr. Sharp from a burning balloon over Lake Carlopa. In another adventure, detailed in ""Tom Swift and His Airship,"" Tom, Mr. Sharp, and Mr. Damon faced danger during a pleasure trip in the air. They narrowly escaped being mistaken for bank robbers due to Andy Foger's false accusations. Tom, along with his friends, eventually captured the real robbers and cleared their names. Meanwhile, Tom's father worked on a submarine boat, the Advance, near the New Jersey coast. The submarine's construction was kept secret, and with the help of trusted mechanics, they hurried to complete it."|"[""1. What is the main focus of the text passage?\nA) Tom's adventures on his motor-boat\nB) Tom's encounters with Andy Foger\nC) Tom's involvement in balloon rescues\nD) Tom's experiences with air travel\nE) Tom's father's work on a submarine boat"", '2. Who is Andy Foger in relation to Tom Swift?\nA) A helpful friend\nB) A wealthy competitor\nC) A trusted mechanic\nD) A balloonist\nE) A submarine engineer', ""3. What role did John Sharp play in Tom's adventures?\nA) Motor-boat racer\nB) Balloon rescuer\nC) Airship pilot\nD) Submarine builder\nE) Bank robber"", '4. How did Andy Foger cause trouble for Tom in the text passage?\nA) By helping him in boat races\nB) By falsely accusing him of bank robbery\nC) By assisting in balloon rescues\nD) By working on the submarine boat\nE) By being a trusted mechanic', ""5. What was the purpose of Tom and his friends' trip in the airship?\nA) Balloon rescue mission\nB) Bank robbery investigation\nC) Pleasure trip\nD) Submarine construction\nE) Motor-boat race"", '6. Why was the construction of the submarine boat kept secret in the text passage?\nA) To race against Andy Foger\nB) To participate in balloon rescues\nC) To avoid being mistaken for bank robbers\nD) To capture the real robbers\nE) To complete it quickly with trusted mechanics']"|"[""E) Tom's father's work on a submarine boat"", 'B) A wealthy competitor', 'B) Balloon rescuer', 'B) By falsely accusing him of bank robbery', 'C) Pleasure trip', 'E) To complete it quickly with trusted mechanics']"
Mr. Swift mentioned that their craft would be finished soon. They planned to test it in the water to see if it floats and submerges correctly. Tom, feeling suspicious, apologized to a stranger he mistook for trouble. The stranger, Mr. Berg, represented a firm building submarines and torpedoes. They wanted to know when Mr. Swift's craft would be ready for a competition held by the United States Government. Mr. Berg explained that their firm's submarine was ready, but they preferred multiple contestants. They sought to wait until Mr. Swift's craft was completed to enter the competition. Mr. Swift was asked if he was prepared to compete, and the stage was set for a friendly competition between the two firms.|"['1. What did Mr. Swift and his team plan to do with their craft soon?\nA) Test it in the air\nB) Test it on land\nC) Test it in the water\nD) Test it underground\nE) Test it in space', '2. How did Tom feel when he mistook a stranger for trouble?\nA) Excited\nB) Suspicious\nC) Happy\nD) Angry\nE) Relieved', '3. Who did Tom apologize to after mistaking them for trouble?\nA) Mr. Swift\nB) Mr. Berg\nC) A friend\nD) An enemy\nE) A family member', ""4. What did Mr. Berg's firm specialize in building?\nA) Airplanes\nB) Submarines and torpedoes\nC) Cars\nD) Trains\nE) Rockets"", ""5. Why did Mr. Berg's firm want to wait for Mr. Swift's craft to be completed before entering the competition?\nA) They were not interested in the competition\nB) They wanted to sabotage Mr. Swift's craft\nC) They preferred multiple contestants\nD) They wanted to win the competition easily\nE) They were afraid of Mr. Swift's craft"", '6. What was the outcome of the interaction between Mr. Swift and Mr. Berg?\nA) They became enemies\nB) They decided not to compete\nC) They planned a friendly competition\nD) They joined forces\nE) They canceled the competition']"|['C) Test it in the water', 'B) Suspicious', 'B) Mr. Berg', 'B) Submarines and torpedoes', 'C) They preferred multiple contestants', 'C) They planned a friendly competition']
Mr. Swift explained that he initially considered competing for a government prize of fifty thousand dollars with his submarine boat idea. However, the agent for Bentley & Eagert was shocked that Mr. Swift wasn't going to compete. Mr. Berg expressed surprise and disappointment, as he had come from Philadelphia to arrange for both their ships to enter the competition together. Mr. Swift mentioned that their plans were different and they would not compete for the prize. Mr. Berg was intrigued and asked if another government offered a larger prize. Tom, Mr. Swift's son, apologized for inadvertently revealing too much and clarified that they were aiming for a prize, but it was a separate endeavor.|"[""1. What was Mr. Swift's initial plan regarding the government prize of fifty thousand dollars?\nA) He decided to compete for it.\nB) He considered competing for it.\nC) He rejected the idea of competing for it.\nD) He was unsure about competing for it.\nE) He was not interested in the prize."", ""2. How did the agent for Bentley & Eagert react when he found out Mr. Swift wasn't going to compete for the prize?\nA) He was excited.\nB) He was relieved.\nC) He was shocked.\nD) He was indifferent.\nE) He was angry."", ""3. Why did Mr. Berg express surprise and disappointment?\nA) Mr. Swift decided to compete for the prize.\nB) Mr. Swift rejected the idea of competing for the prize.\nC) Mr. Berg was not interested in the competition.\nD) Mr. Berg was not feeling well.\nE) Mr. Berg's ship was not ready for the competition."", '4. What did Mr. Berg ask Mr. Swift when he found out they were not going to compete for the prize?\nA) If they could join forces and compete together.\nB) If they could withdraw from the competition.\nC) If another government offered a larger prize.\nD) If Mr. Swift was sure about his decision.\nE) If Mr. Swift was afraid of losing the competition.', ""5. Why did Tom apologize during the conversation?\nA) For revealing too much information.\nB) For not revealing enough information.\nC) For not being interested in the prize.\nD) For interrupting the conversation.\nE) For disagreeing with his father's decision."", ""6. What did Tom clarify about their plans for the prize?\nA) They were not aiming for any prize.\nB) They were aiming for a different prize.\nC) They were not interested in competing.\nD) They were competing with Mr. Berg's team.\nE) They were aiming for the same prize as Mr. Berg.""]"|['B) He considered competing for it.', 'C) He was shocked.', 'B) Mr. Swift rejected the idea of competing for the prize.', 'C) If another government offered a larger prize.', 'A) For revealing too much information.', 'B) They were aiming for a different prize']
"""Very good,"" the man replied stiffly. ""Then I bid you good night. We shall win the Government prize, but I am surprised that you are not competing. Your submarine is almost as good as ours. Good night,"" he said with a bow, leaving quickly. ""He's bold,"" Tom said after the man left. ""I'm suspicious. Do you think he wanted to steal our ideas?"" Tom explained, ""I caught him snooping around our electric propellers. He tripped, and I thought he was from the old gang. He was trying to find something."" His father reassured him, ""His firm is competitive but not dishonest. They wouldn't sneak to steal. They have their own design. Let's not compete. Our new propulsion system is our edge. We'll be ready for the test in a week."""|"['1. Why did the man leave quickly after bidding good night?\nA) He was in a hurry\nB) He was suspicious\nC) He wanted to steal ideas\nD) He had to meet someone\nE) He was tired', '2. What did Tom catch the man doing around their electric propellers?\nA) Repairing them\nB) Admiring them\nC) Stealing ideas\nD) Tripping\nE) None of the above', '3. Why did Tom think the man was from the old gang?\nA) He was wearing a gang symbol\nB) He tripped\nC) He was snooping around\nD) He was talking to someone suspicious\nE) He was carrying a weapon', ""4. What did Tom's father say about the man's firm?\nA) They are competitive and dishonest\nB) They are not competitive\nC) They wouldn't sneak to steal\nD) They have no design\nE) They are not ready for the test"", ""5. Why did Tom's father suggest not competing?\nA) Because their submarine is not good enough\nB) Because they don't have a propulsion system\nC) Because their new propulsion system is their edge\nD) Because they are not prepared\nE) Because they are afraid of losing"", '6. When will they be ready for the test?\nA) In a day\nB) In a month\nC) In a week\nD) In a year\nE) Never']"|"['A) He was in a hurry', 'C) Stealing ideas', 'B) He tripped', ""C) They wouldn't sneak to steal"", 'C) Because their new propulsion system is their edge', 'C) In a week']"
Not long ago, Tom and Mr. Sharp visited the shed where the innovative submarine, the Advance, was being prepared for launching. This cutting-edge vessel, designed by Mr. Swift and Tom, was unlike any other. Shaped like a cigar, it boasted compartments that could withstand flooding, ensuring the ship's usability even if sections were submerged. The submarine utilized compressed air tanks for buoyancy and had a unique emergency system involving a collapsible aluminum container filled with potent gas to resurface the vessel if stranded underwater. The craft's engine room was centrally located for stability, allowing a single engine to power both propellers and electrical plates for forward and rear movement. The submarine's propulsion system harnessed the power of electricity, with forward and aft plates charged with negative and positive electricity respectively to pull and push the vessel through water. This groundbreaking design also featured traditional propellers as a backup. The submarine was equipped with gasolene motors, dynamos, and pumps for air and water, making it a marvel of engineering.|"['1. What is the main purpose of the submarine, the Advance?\nA) To transport passengers across the ocean\nB) To explore the deep sea for scientific research\nC) To serve as a luxury yacht for wealthy individuals\nD) To deliver cargo to remote islands\nE) To participate in underwater rescue missions', ""2. How does the submarine's emergency system help resurface the vessel if stranded underwater?\nA) By releasing a parachute to float to the surface\nB) By activating a hydraulic lift to raise the submarine\nC) By deploying a collapsible aluminum container filled with potent gas\nD) By using a magnetic field to attract the submarine upwards\nE) By calling for assistance from nearby ships"", '3. Where is the engine room located in the submarine for stability?\nA) At the front of the vessel\nB) At the rear of the vessel\nC) On the upper deck\nD) Centrally located\nE) Below the waterline', '4. What type of propulsion system does the submarine utilize?\nA) Steam-powered\nB) Wind-powered\nC) Solar-powered\nD) Electricity-powered\nE) Diesel-powered', ""5. Which of the following is NOT mentioned as a feature of the submarine's design?\nA) Compressed air tanks for buoyancy\nB) Gasolene motors\nC) Dynamos\nD) Traditional propellers\nE) Sails for additional propulsion"", '6. What makes the submarine, the Advance, a marvel of engineering?\nA) Its luxurious interior design\nB) Its ability to travel faster than any other vessel\nC) Its innovative use of electricity for propulsion\nD) Its advanced radar and communication systems\nE) Its capability to carry a large number of passengers']"|['B) To explore the deep sea for scientific research', 'C) By deploying a collapsible aluminum container filled with potent gas', 'D) Centrally located', 'D) Electricity-powered', 'E) Sails for additional propulsion', 'C) Its innovative use of electricity for propulsion']
The submarine, named the Advance, was equipped with various compartments and features to accommodate the travelers. Forward from the engine-room was a cabin for dining and daytime activities, along with a small kitchen. The sleeping quarters and storerooms were located back of the engine-room. The submarine was steered from the forward compartment, where levers, wheels, and valves controlled the machinery. Dials displayed the direction, depth, speed, and ocean pressure. A conning tower at the top front held steering apparatus for surface navigation. To exit underwater, diving suits with portable oxygen tanks were used. Bull's-eye windows allowed viewing outside, and defensive features included a steel ram and electrical guns. The Advance was well-stocked with water, air, and provisions for a month's stay below the surface. The craft was designed to withstand intense ocean pressures up to a depth of three miles.|"['1. What was located forward from the engine-room in the submarine?\nA) Sleeping quarters\nB) Storerooms\nC) Dining cabin\nD) Conning tower\nE) Diving suits', '2. Where were the sleeping quarters and storerooms situated in the submarine?\nA) Forward compartment\nB) Conning tower\nC) Engine-room\nD) Top front\nE) Underwater', '3. What did the dials in the forward compartment of the submarine display?\nA) Temperature and humidity\nB) Speed and direction\nC) Wind speed and ocean pressure\nD) Time and date\nE) Depth and air pressure', '4. What was the purpose of the conning tower at the top front of the submarine?\nA) Sleeping quarters\nB) Storerooms\nC) Steering apparatus for surface navigation\nD) Defensive features\nE) Diving suits', ""5. How was the submarine designed to exit underwater?\nA) Bull's-eye windows\nB) Steel ram\nC) Electrical guns\nD) Diving suits with portable oxygen tanks\nE) Levers, wheels, and valves"", '6. What ocean depth could the Advance withstand according to the text?\nA) One mile\nB) Two miles\nC) Three miles\nD) Four miles\nE) Five miles']"|['C) Dining cabin', 'C) Engine-room', 'E) Depth and air pressure', 'C) Steering apparatus for surface navigation', 'D) Diving suits with portable oxygen tanks', 'C) Three miles']
